name,captain,wallet,owner,logo
Chennai Super Kings,MS Dhoni,100000000,India Cements,
Mumbai Indians,Rohit Sharma,100000000,Reliance,
Royal Challengers Bangalore,Virat Kohli,100000000,United Spirits,
Kolkata Knight Riders,Shreyas Iyer,100000000,Knight Riders Group,
Delhi Capitals,Rishabh Pant,100000000,GMR Group,
Punjab Kings,Shikhar Dhawan,100000000,KPH Dream Cricket,
Rajasthan Royals,Sanju Samson,100000000,Emerging Media,
Sunrisers Hyderabad,Pat Cummins,100000000,Sun TV Network,
Gujarat Titans,Hardik Pandya,100000000,CVC Capital,
Lucknow Super Giants,KL Rahul,100000000,RPSG Group,
